,id,death,serious,injury,latitude,longitude
0,1,0,0,1,33.90565208,130.80554339
1,2,0,0,1,33.80910744,130.55873708
2,3,0,0,1,33.45389742,130.45990456
3,4,0,0,1,33.60731261,130.43895181
4,5,0,1,0,33.55063269,130.44851869
5,6,0,1,1,33.74922092,130.59032003
6,7,0,0,1,33.59713917,130.47917472
7,8,0,0,2,33.28834578,130.52872639
8,9,0,1,0,33.64693472,130.6762645
9,10,0,0,1,33.63329914,130.71334892
10,11,0,0,1,33.72670622,130.71420578
11,12,0,1,0,33.56981497,130.23380464
12,13,0,0,1,33.65167844,130.68281536
13,14,0,0,1,33.66815158,130.44620042
14,15,0,0,1,33.0096295,130.43667653
15,16,0,0,1,33.51749336,130.41630114
16,17,0,0,1,33.56168336,130.42125644
17,18,0,0,1,33.29374228,130.51919281
18,19,0,0,1,33.65408533,130.438962
19,20,0,0,1,33.887226,130.84697672
20,21,0,1,0,33.58395681,130.43736597
21,22,0,0,1,33.31183314,130.496661
22,23,0,1,0,33.62279542,130.68280636
23,24,0,2,2,33.64256708,130.74512753
24,25,0,0,1,33.55662939,130.4728805
25,26,0,0,1,33.65196456,130.80337778
26,27,0,0,2,33.73460892,130.46754758
27,28,0,0,1,33.54796506,130.48023769
28,29,0,1,0,33.51803442,130.45486478
29,30,0,0,1,33.73771864,130.51773978
30,31,0,0,1,33.67509511,130.79213308
31,32,0,0,1,33.65033058,130.66979106
32,33,0,0,1,33.57163272,130.24338797
33,34,0,0,1,33.55224739,130.37293969
34,35,0,2,4,33.60784908,130.68993522
35,36,0,0,1,33.72598425,130.9743415
36,37,0,2,0,33.54199589,130.49622697
37,38,0,0,1,33.86450869,130.9816875
38,39,0,0,1,33.88392889,130.88146578
39,40,0,0,1,33.32534297,130.58416592
40,41,0,0,5,33.51380594,130.47630764
41,42,0,0,1,33.53601833,130.38658828
42,43,0,0,1,33.66157975,130.44071936
43,44,0,0,4,33.74902967,130.55578811
44,45,0,1,1,33.63603317,130.73006122
45,46,0,0,1,33.56806883,130.45904719
46,47,0,0,1,33.246627,130.45900822
47,48,0,0,1,33.54814794,130.34708725
48,49,0,0,3,33.57123611,130.360065
49,50,0,0,2,33.33008375,130.48309842
50,51,0,0,1,33.55593497,130.37381803
51,52,0,0,1,33.51728392,130.42627272
52,53,0,0,3,33.57782572,130.84902189
53,54,0,0,1,33.86382736,130.85381864
54,55,0,0,1,33.65554758,130.82115306
55,56,0,0,2,33.64625425,130.69210239
56,57,0,0,1,33.80936278,130.5689455
57,58,0,0,2,33.21616814,130.54133111
58,59,0,0,2,33.37203564,130.54866814
59,60,0,0,1,33.6202685,130.66267967
60,61,0,0,1,33.59883811,130.67465239
61,62,0,0,1,33.55884936,130.429597
62,63,0,1,0,33.61054492,130.42934417
63,64,0,0,1,33.58370697,130.44037333
64,65,0,0,1,33.57763653,130.43061322
65,66,0,1,0,33.73494189,130.99086633
66,67,0,0,1,33.71100603,130.99334297
67,68,0,1,1,33.34210697,130.61758614
68,69,0,0,1,33.52707883,130.44570178
69,70,0,1,3,33.61445944,131.16163092
70,71,0,0,1,33.55320642,130.39103422
71,72,0,0,1,33.83921508,130.92922703
72,73,0,0,1,33.19672275,130.48460894
73,74,0,0,1,33.32331019,130.52339422
74,75,0,0,1,33.80347064,130.85305369
75,76,0,0,1,33.54969075,130.34790206
76,77,0,0,1,33.31417939,130.48927122
77,78,0,1,0,33.50531561,130.45622539
78,79,0,1,1,33.59792317,130.69238853
79,80,0,0,2,33.58041258,131.14989606
80,81,0,0,1,33.54017447,130.39864367
81,82,0,0,1,33.57042828,130.35683608
82,83,0,0,2,33.87753333,130.88682378
83,84,0,0,1,33.82318122,130.73162056
84,85,0,0,1,33.87437625,130.70386594
85,86,0,1,0,33.75630119,130.65586894
86,87,0,0,4,33.64699414,130.81382003
87,88,0,2,0,33.66170319,130.81330042
88,89,0,0,2,33.86758433,130.90100928
89,90,0,1,0,33.90257372,130.94092167
90,91,0,0,8,33.3237585,130.55931231
91,92,0,0,2,33.85043861,130.86845014
92,93,0,1,1,33.44005017,130.56379558
93,94,0,1,1,33.16429383,130.362462
94,95,0,0,6,33.52770625,130.39111247
95,96,0,1,0,33.62923686,130.73128453
96,97,0,0,1,33.28400694,130.51042175
97,98,0,0,1,33.78302144,130.73255322
98,99,0,0,1,33.62309989,130.67018108
99,100,0,0,1,33.55239069,130.32744414
100,101,0,0,2,33.89888317,130.85522614
101,102,0,0,1,33.51321419,130.50262911
102,103,0,0,1,33.72735442,130.98618133
103,104,0,1,0,33.88608067,130.89025608
104,105,0,0,2,33.60316497,130.45322636
105,106,0,0,1,33.5454195,130.33387761
106,107,0,0,1,33.51269097,130.48240239
107,108,0,1,0,33.57940978,130.30920211
108,109,0,0,1,33.63321786,130.65988094
109,110,0,0,1,33.59883411,130.40873433
110,111,0,0,1,33.65871764,130.43291211
111,112,0,1,0,33.66230722,130.77675611
112,113,0,0,1,33.57514011,130.36527139
113,114,0,0,1,33.84423219,130.88517292
114,115,0,0,1,33.59325475,130.47448903
115,116,0,1,0,33.20338775,130.380695
116,117,0,0,2,33.21110675,130.36678708
117,118,0,0,2,33.69326853,130.99679233
118,119,0,0,1,33.88380697,130.88287419
119,120,0,0,1,33.28222519,130.50428636
120,121,0,0,1,33.69478628,130.69788561
121,122,0,0,1,33.57720028,130.34704133
122,123,0,0,1,33.59798531,130.63313094
123,124,0,0,1,33.61477864,130.41809156
124,125,0,0,2,33.6230025,130.69170322
125,126,0,1,2,33.74932889,130.55080444
126,127,0,0,2,33.81648333,130.58046039
127,128,0,0,1,33.64344086,130.42391639
