id,pref,pol,rad
1,北海道,札幌,0.029
2,青森県,青森,0.03
3,岩手県,盛岡,0.027
4,宮城県,仙台,0.038
5,秋田県,秋田,0.036
6,山形県,山形,0.035
7,福島県,福島,0.037
8,茨城県,水戸,0.04
9,栃木県,宇都宮,0.037
10,群馬県,前橋,0.031
11,埼玉県,さいたま,0.034
12,千葉県,千葉,0.031
13,東京都,東京,0.038
14,神奈川県,横浜,0.029
15,新潟県,新潟,0.041
16,富山県,富山,0.052
17,石川県,金沢,0.049
18,福井県,福井,0.047
19,山梨県,甲府,0.036
20,長野県,長野,0.038
21,岐阜県,岐阜,0.055
22,静岡県,静岡,0.035
23,愛知県,名古屋,0.047
24,三重県,津,0.042
25,滋賀県,大津,0.054
26,京都府,京都,0.043
27,大阪府,大阪,0.049
28,兵庫県,神戸,0.053
29,奈良県,奈良,0.046
30,和歌山県,和歌山,0.046
31,鳥取県,鳥取,0.043
32,島根県,松江,0.05
33,岡山県,岡山,0.057
34,広島県,広島,0.06
35,山口県,山口,0.05
36,徳島県,徳島,0.034
37,香川県,高松,0.053
38,愛媛県,松山,0.05
39,高知県,高知,0.037
40,福岡県,福岡,0.038
41,佐賀県,佐賀,0.03
42,長崎県,長崎,0.034
43,熊本県,熊本,0.034
44,大分県,大分,0.033
45,宮崎県,宮崎,0.043
46,鹿児島県,鹿児島,0.04
47,沖縄県,那覇,0.029
